Date,Description,Category,Amount,Type
2026-04-16,Local Store,Shopping,1350,EXPENSE
2026-06-15,Fuel,Transport,1384,Expense
2026-01-30,Electricity,Bills,2621, Expense 
2026-06-29,Local Store,Shopping,1531,EXPENSE
2026-03-31,Spotify,Entertainment,2402,Expense
2026-04-15,Swiggy,Food,195,expense
2026-04-25,Course,Education,926,Expense
2026-02-21,College Material,Education,2158,Expense
2026-01-10,Books,Education,1776, Expense 
2026-04-02,Ola,Transport,313, Expense 
2026-05-15,Metro,Transport,2312,Expense
2026-07-07,Cafe,Food,537, Expense 
2026-04-17,Hospital,Healthcare,2657,expense
2026-05-05,Hospital,Healthcare,365, Expense 
2026-01-21,Spotify,Entertainment,1012,EXPENSE
2026-02-12,Netflix,Entertainment,1967, Expense 
2026-03-27,Myntra,Shopping,1358,expense
2026-05-17,Udemy,Education,817, Expense 
2026-05-20,Cafe,Food,2328,expense
2026-07-16,Medicine,Healthcare,844,Expense
2026-03-01,Udemy,Education,2177,Expense
2026-02-02,Uber,Transport,2080,EXPENSE
2026-06-05,Uber,Transport,1089, Expense 
2026-03-02,Ola,Transport,602,Expense
2026-03-20,Rent,Bills,2567,Expense
2026-06-06,Pharmacy,Healthcare,1216, Expense 
2026-02-21,Rent,Bills,1843,Expense
2026-03-18,Rent,Bills,1930,expense
2026-04-22,Mobile Bill,Bills,174, Expense 
2026-07-05,Course,Education,2247, Expense 
2026-05-27,Fuel,Transport,2646,EXPENSE
2026-06-26,Myntra,Shopping,2072,expense
2026-07-18,Pharmacy,Healthcare,2303, Expense 
2026-02-20,Udemy,Education,862,EXPENSE
2026-04-12,Hospital,Healthcare,1612,expense
2026-03-01,Hospital,Healthcare,1493, Expense 
2026-06-16,Internet,Bills,1833,Expense
2026-07-14,Netflix,Entertainment,859,EXPENSE
2026-05-30,Hospital,Healthcare,2012,EXPENSE
2026-06-10,Restaurant,Food,2040,expense
2026-03-24,College Material,Education,2531,EXPENSE
2026-03-31,Udemy,Education,2929,Expense
2026-06-20,Amazon,Shopping,1340,Expense
2026-07-16,Movie,Entertainment,1855,EXPENSE
2026-01-07,Flipkart,Shopping,2471, Expense 
2026-05-13,Internet,Bills,2183, Expense 
2026-04-13,Hospital,Healthcare,274,EXPENSE
2026-05-15,Netflix,Entertainment,948,Expense
2026-03-05,Spotify,Entertainment,2859,EXPENSE
2026-07-12,Flipkart,Shopping,2238,EXPENSE
2026-04-03,Gaming,Entertainment,697,EXPENSE
2026-07-19,Fuel,Transport,1516,Expense
2026-02-03,Books,Education,967,Expense
2026-03-01,Uber,Transport,1943, Expense 
2026-07-19,Internet,Bills,1986,Expense
2026-02-16,Ola,Transport,670, Expense 
2026-01-01,Movie,Entertainment,247,Expense
2026-04-08,Restaurant,Food,2386,EXPENSE
2026-04-05,Myntra,Shopping,1831,Expense
2026-04-06,Hospital,Healthcare,2507,expense
2026-01-11,Local Store,Shopping,2732,expense
2026-03-24,Cafe,Food,1441, Expense 
2026-02-04,College Material,Education,351,Expense
2026-04-17,Electricity,Bills,2163, Expense 
2026-03-04,Myntra,Shopping,221,expense
2026-04-09,Pharmacy,Healthcare,1683,Expense
2026-05-25,Local Store,Shopping,1074,EXPENSE
2026-01-25,Fuel,Transport,2940,Expense
2026-03-15,Udemy,Education,2552, Expense 
2026-01-13,Metro,Transport,2245,EXPENSE
2026-05-20,Local Store,Shopping,2940, Expense 
2026-04-18,Rent,Bills,973,EXPENSE
2026-04-30,Restaurant,Food,1091,EXPENSE
2026-03-21,Metro,Transport,2947,expense
2026-02-03,Course,Education,591, Expense 
2026-01-10,Local Store,Shopping,693,Expense
2026-06-25,Books,Education,526,expense
2026-07-05,Movie,Entertainment,1050,expense
2026-02-28,College Material,Education,2846,Expense
2026-03-25,Swiggy,Food,822,Expense
2026-07-18,Rent,Bills,127,EXPENSE
2026-03-11,Mobile Bill,Bills,379,Expense
2026-03-08,Hospital,Healthcare,718,expense
2026-05-08,Ola,Transport,2917, Expense 
2026-05-30,Ola,Transport,2844,Expense
2026-03-17,Amazon,Shopping,1638, Expense 
2026-03-25,Amazon,Shopping,471,Expense
2026-01-08,College Material,Education,2887,Expense
2026-06-24,College Material,Education,1961,expense
2026-04-09,Medicine,Healthcare,2222, Expense 
2026-02-26,Fuel,Transport,2104,expense
2026-05-27,Course,Education,933,expense
2026-03-29,Udemy,Education,1303,Expense
2026-04-05,Swiggy,Food,1605,expense
2026-01-17,Zomato,Food,2513,Expense
2026-06-08,Myntra,Shopping,2120,EXPENSE
2026-03-20,Movie,Entertainment,415, Expense 
2026-07-12,Medicine,Healthcare,667, Expense 
2026-01-21,Course,Education,188, Expense 
2026-04-03,Fuel,Transport,311,EXPENSE
2026-01-01,  Monthly Salary , Income,48000,income
2026-02-01,  Monthly Salary , Income,48000,income
2026-03-01,  Monthly Salary , Income,48000,income
2026-04-01,  Monthly Salary , Income,48000,income
2026-05-01,  Monthly Salary , Income,48000,income
2026-06-01,  Monthly Salary , Income,48000,income
2026-13-45,Bad Date Row,Food,500,Expense
2026-05-10,Missing Amount,Shopping,,Expense
2026-05-11,Negative Amount,Transport,-750,Expense
2026-05-12,Non Numeric Amount,Food,abc,Expense
,Missing Date,Bills,1200,Expense
2026-05-13,  Whitespace Desc  ,  Food ,300,  expense  
