Date,Description,Category,Amount,Type
2026-01-01,Monthly Salary,Income,55000,Income
2026-01-01,Local Store,Shopping,1565,Expense
2026-01-02,Swiggy,Food,2155,Expense
2026-01-02,Hospital,Healthcare,216,Expense
2026-01-02,Books,Education,1539,Expense
2026-01-02,Cafe,Food,407,Expense
2026-01-06,Local Store,Shopping,1657,Expense
2026-01-06,Hospital,Healthcare,2355,Expense
2026-01-08,Udemy,Education,973,Expense
2026-01-08,Ola,Transport,2234,Expense
2026-01-09,Hospital,Healthcare,1456,Expense
2026-01-11,Rent,Bills,2125,Expense
2026-01-11,Internet,Bills,799,Expense
2026-01-13,Flipkart,Shopping,1988,Expense
2026-01-15,Internet,Bills,1028,Expense
2026-01-15,Swiggy,Food,1260,Expense
2026-01-16,Cafe,Food,512,Expense
2026-01-17,Rent,Bills,986,Expense
2026-01-17,Medicine,Healthcare,1007,Expense
2026-01-20,Udemy,Education,1123,Expense
2026-01-20,Internet,Bills,253,Expense
2026-01-25,Swiggy,Food,481,Expense
2026-01-26,Medicine,Healthcare,1616,Expense
2026-01-28,Hospital,Healthcare,1935,Expense
2026-01-31,Movie,Entertainment,274,Expense
2026-02-01,Monthly Salary,Income,55000,Income
2026-02-01,Local Store,Shopping,2155,Expense
2026-02-03,Movie,Entertainment,791,Expense
2026-02-03,Myntra,Shopping,363,Expense
2026-02-08,Ola,Transport,1944,Expense
2026-02-09,Flipkart,Shopping,2419,Expense
2026-02-10,Mobile Bill,Bills,533,Expense
2026-02-11,Zomato,Food,377,Expense
2026-02-11,Electricity,Bills,604,Expense
2026-02-13,Ola,Transport,1219,Expense
2026-02-14,Emergency Surgery,Healthcare,42000,Expense
2026-02-15,Cafe,Food,458,Expense
2026-02-15,Hospital,Healthcare,1818,Expense
2026-02-17,Medicine,Healthcare,197,Expense
2026-02-19,Myntra,Shopping,975,Expense
2026-02-20,Local Store,Shopping,1284,Expense
2026-02-21,Restaurant,Food,816,Expense
2026-02-21,Gaming,Entertainment,241,Expense
2026-02-22,Local Store,Shopping,1938,Expense
2026-02-22,Local Store,Shopping,838,Expense
2026-02-23,Movie,Entertainment,1990,Expense
2026-02-24,Hospital,Healthcare,1307,Expense
2026-02-25,Swiggy,Food,2339,Expense
2026-02-27,Zomato,Food,473,Expense
2026-03-01,Monthly Salary,Income,55000,Income
2026-03-05,Spotify,Entertainment,1188,Expense
2026-03-06,Hospital,Healthcare,143,Expense
2026-03-08,Hospital,Healthcare,1694,Expense
2026-03-08,Spotify,Entertainment,2052,Expense
2026-03-08,Cafe,Food,1042,Expense
2026-03-09,Myntra,Shopping,2310,Expense
2026-03-09,Spotify,Entertainment,1063,Expense
2026-03-10,College Material,Education,125,Expense
2026-03-10,Books,Education,1668,Expense
2026-03-11,Udemy,Education,2171,Expense
2026-03-14,Metro,Transport,1402,Expense
2026-03-15,Pharmacy,Healthcare,563,Expense
2026-03-16,Medicine,Healthcare,1290,Expense
2026-03-16,Restaurant,Food,2365,Expense
2026-03-18,Electricity,Bills,2321,Expense
2026-03-20,Amazon,Shopping,478,Expense
2026-03-22,Laptop Purchase,Shopping,38000,Expense
