Date,Category,Amount,Description
2026-01-02,Food,250,Breakfast
2026-01-03,Transport,120,Bus
2026-01-04,Food,450,Lunch
2026-01-05,Entertainment,300,Movie
2026-01-06,Shopping,1200,Clothes
2026-01-08,Food,180,Dinner
2026-01-10,Transport,200,Cab
2026-01-12,Education,800,Study materials
2026-01-14,Food,350,Restaurant
2026-01-16,Bills,1500,Electricity bill
2026-01-18,Shopping,950,Online shopping
2026-01-20,Food,220,Lunch
2026-01-22,Transport,150,Auto
2026-01-24,Entertainment,500,Game
2026-01-26,Food,400,Dinner
2026-01-28,Health,700,Medicine
2026-01-30,Other,250,Miscellaneous
2026-02-01,Food,300,Breakfast
2026-02-03,Transport,180,Cab
2026-02-05,Shopping,1400,Shoes
2026-02-07,Food,500,Restaurant
2026-02-09,Entertainment,350,Movie
2026-02-11,Education,600,Online course
2026-02-13,Food,280,Lunch
2026-02-15,Bills,1800,Internet and electricity
2026-02-17,Transport,220,Cab
2026-02-19,Shopping,900,Clothes
2026-02-21,Food,450,Dinner
2026-02-23,Health,500,Medicine
2026-02-25,Entertainment,400,Gaming
2026-02-27,Food,320,Restaurant
2026-03-01,Food,280,Breakfast
2026-03-03,Transport,150,Bus
2026-03-05,Shopping,1600,Electronics
2026-03-07,Food,550,Restaurant
2026-03-09,Entertainment,450,Movie
2026-03-11,Education,750,Books
2026-03-13,Food,300,Lunch
2026-03-15,Bills,1600,Electricity
2026-03-17,Transport,200,Cab
2026-03-19,Shopping,1100,Online shopping
2026-03-21,Food,480,Dinner
2026-03-23,Health,600,Medicine
2026-03-25,Entertainment,500,Game
2026-03-27,Food,350,Restaurant
2026-03-29,Other,300,Miscellaneous
2026-04-01,Food,320,Breakfast
2026-04-03,Transport,180,Auto
2026-04-05,Shopping,1300,Clothes
2026-04-07,Food,600,Restaurant
2026-04-09,Entertainment,400,Movie
2026-04-11,Education,900,Course
2026-04-13,Food,350,Lunch
2026-04-15,Bills,1900,Electricity
2026-04-17,Transport,250,Cab
2026-04-19,Shopping,1500,Online shopping
2026-04-21,Food,500,Dinner
2026-04-23,Health,650,Medicine
2026-04-25,Entertainment,450,Game
2026-04-27,Food,380,Restaurant
2026-04-29,Other,300,Miscellaneous
2026-05-01,Food,350,Breakfast
2026-05-03,Transport,200,Cab
2026-05-05,Shopping,1700,Clothes
2026-05-07,Food,650,Restaurant
2026-05-09,Entertainment,500,Movie
2026-05-11,Education,800,Books
2026-05-13,Food,400,Lunch
2026-05-15,Bills,2000,Electricity
2026-05-17,Transport,220,Auto
2026-05-19,Shopping,1400,Online shopping
2026-05-21,Food,550,Dinner
2026-05-23,Health,700,Medicine
2026-05-25,Entertainment,600,Game
2026-05-27,Food,450,Restaurant
2026-05-29,Other,350,Miscellaneous
2026-06-01,Food,400,Breakfast
2026-06-03,Transport,220,Cab
2026-06-05,Shopping,1900,Electronics
2026-06-07,Food,700,Restaurant
2026-06-09,Entertainment,550,Movie
2026-06-11,Education,900,Books
2026-06-13,Food,450,Lunch
2026-06-15,Bills,2100,Electricity
2026-06-17,Transport,250,Cab
2026-06-19,Shopping,1600,Online shopping
2026-06-21,Food,600,Dinner
2026-06-23,Health,750,Medicine
2026-06-25,Entertainment,650,Game
2026-06-27,Food,500,Restaurant
2026-06-29,Other,400,Miscellaneous
2026-07-01,Food,450,Breakfast
2026-07-03,Transport,250,Cab
2026-07-05,Shopping,2200,Clothes
2026-07-07,Food,750,Restaurant
2026-07-09,Entertainment,600,Movie
2026-07-11,Education,1000,Books
2026-07-13,Food,500,Lunch
2026-07-15,Bills,2200,Electricity
2026-07-17,Transport,300,Cab
2026-07-19,Shopping,1800,Online shopping
2026-07-21,Food,650,Dinner
2026-07-23,Health,800,Medicine
2026-07-25,Entertainment,700,Game
2026-07-27,Food,550,Restaurant
2026-07-29,Other,450,Miscellaneous
2026-08-01,Food,500,Breakfast
2026-08-02,Transport,250,Cab
2026-08-03,Shopping,2000,Clothes
2026-08-04,Food,700,Restaurant
2026-08-05,Food,2800,Large restaurant bill
2026-08-06,Entertainment,600,Movie
2026-08-07,Education,900,Books
2026-08-08,Shopping,6500,Unusual purchase
2026-08-09,Transport,300,Cab
2026-08-10,Transport,2500,Unusual travel expense
2026-08-11,Food,550,Lunch
2026-08-12,Bills,2300,Electricity
2026-08-13,Health,850,Medicine
2026-08-14,Entertainment,700,Game
2026-08-15,Food,600,Dinner
